iter	Logloss
0	0.2050491714
1	0.07839457194
2	0.0404039669
3	0.02465725899
4	0.01603496552
5	0.01205086708
6	0.009866897265
7	0.008572642008
8	0.007523888747
9	0.006705093384110	0.006240566969111	0.005728148619112	0.00551599701213	0.002600999276
14	0.002394401828
15	0.002276062568
16	0.002158318559
17	0.002026268045
18	0.001874924898
19	0.001773549517
20	0.001718923648
21	0.001661602557
22	0.001641587814
23	0.001554357211
24	0.001422884365
25	0.001390660306
26	0.001314198673
27	0.001254760126
28	0.001136373083
29	0.001058681011
30	0.001020569305
31	0.001009826263
32	0.0009574283163
33	0.0009222838283
34	0.0008480417728
35	0.0008077207704
36	0.0007637	0.00237	0.0007238	0.002038	0.000639	0.0019739	0.0006796493133
40	0.0006679655612
41	042	42	0.002314364143	43	0.002284439007
44	0.002230057915
45	0.001956307292
46	0.001912430724
47	0.001871881684
48	0.001648160219
49	0.001520378888
50	0.001485342284
51	0.001434559027
52	0.001390229166
53	0.00136026452
54	0.001313276887
55	0.001271779935
56	0.001208667755
57	0.001183862289
58	0.001137297253
59	0.001116288205
60	0.00106489559
61	0.0009479725361
62	0.0009128075838
63	0.0008955983321
64	0.0008800240358
65	0.0008571163813
66	0.0008380788565
67	0.0008123664558
68	0.0007978425423
69	0.0007706881066
70	0.0007577138146
71	0.0007401254276
72	0.0007225340605
73	0.0007123199105
74	0.0007020721833
75	0.0006909801066
76	0.0006725826859
77	0.0006596877674
78	0.0006497043371
79	0.0006436402102
80	0.0006339418888
81	0.00062480	0.00082	0.00061981	0.00083	0.00061082	0.00084	0.00059783	0.0085	0.000589984	0.0086	0.000582685	0.0087	0.000573986	0.0088	0.000565987	0.0089	0.0005587775509
90	0.0005509377519
